local_rank,global_rank,country,elo_rating,rank_year_change,elo_rating_year_change,total_matches,wins,losses,draws,goals_for,goals_against,group,gdp,gdp_per_capita,interest_rate,unemployment_rate
1,1,Brazil,2131,0,8,962,609,157,196,2089,880,E,2248106280710.07,10826.2714348298,8.33256679010704,11.6000003814697
2,2,Germany,2092,0,45,940,548,201,191,2115,1102,F,3781698549834.74,45845.5265423811,1.329210698624,4.09999990463257
3,3,Spain,2048,1,44,680,398,129,153,1354,617,B,1464508831011.81,31505.2929758767,0.283304212129877,19.6000003814697
4,4,Argentina,1985,-1,-20,1003,536,218,249,1884,1066,D,445226712654.891,10153.9979117337,40.6753096494524,
5,5,France,1984,0,-7,825,400,253,172,1456,1175,C,2810525379194.34,42015.7382940858,0.38526565465024,10.1000003814697
6,6,Portugal,1975,5,52,595,285,174,136,993,700,B,231561559532.622,22426.2879274072,1.42589299973585,11.1000003814697
7,7,England,1941,3,15,1035,604,191,240,2437,1020,G,2753793133582.5,41981.3920892747,2.00236447669423,4.80000019073486
8,8,Colombia,1935,-1,-25,555,216,190,149,698,668,H,366158592495.197,7525.85532571096,5.85243195842476,8.39999961853027
9,9,Belgium,1931,3,43,760,318,279,163,1323,1244,G,515557225002.467,45469.7108326081,1.58390325573154,7.80000019073486
10,11,Peru,1906,6,58,615,199,263,153,774,883,C,193483725407.038,6089.40346827584,3.64246308356282,6.59999990463257
11,13,Uruguay,1890,0,20,918,401,295,222,1460,1155,A,48250518688.4947,14009.9984403322,7.04851239712634,7.80000019073486
12,14,Switzerland,1879,1,20,786,275,342,169,1140,1341,E,642089703646.215,76691.1168436405,-0.566143534099083,4.90000009536743
13,16,Mexico,1859,-7,-75,885,455,224,206,1603,918,F,1238150693413.41,9707.90800508327,4.60958260195012,3.90000009536743
14,17,Croatia,1853,-1,-5,297,158,59,80,519,284,D,60328288795.9258,14452.1430277933,-0.104514875391416,13.1000003814697
15,18,Denmark,1843,17,122,803,366,275,162,1471,1128,C,347519725465.965,60670.2372143145,-0.0464441635455159,6.19999980926514
16,19,Poland,1831,-5,-32,820,356,261,203,1404,1110,H,572056239015.817,15065.9712477303,0.416249586969514,6.19999980926514
17,20,Sweden,1796,1,9,1020,500,300,220,2067,1357,F,560386605247.826,56473.022779491,1.59325140634409,7.0
18,21,Iran,1793,4,19,583,323,119,141,1095,462,B,540581254038.18,6733.9134736377,1.60718948786945,12.3999996185303
19,22,Iceland,1787,0,4,428,134,215,79,513,714,D,16249289009.3572,48441.8597997166,2.04196051218798,3.0
20,24,Serbia,1770,9,25,754,351,239,164,1411,1044,E,41308012849.7895,5852.38429895795,2.53455485585154,15.3000001907349
21,27,Senegal,1747,9,35,569,241,168,160,750,564,H,16833353304.076,1092.25116227774,1.11350543212474,
22,30,South Korea,1746,-3,-22,941,511,199,231,1714,867,F,1304658664205.44,25458.8870089242,1.80730348847811,3.70000004768372
23,31,Costa Rica,1745,-5,-24,680,317,201,162,1222,771,E,47184044862.6725,9714.09989691182,2.29764777592536,9.0
24,40,Australia,1714,-3,3,535,270,150,115,1078,604,C,1343181238465.26,55478.5772943505,-0.41372321405467,5.69999980926514
25,41,Morocco,1711,17,91,606,283,146,177,877,529,B,114783961362.676,3204.86465254499,1.60184142275439,9.39999961853027
26,43,Nigeria,1699,7,31,603,276,153,174,901,616,D,456775408619.476,2455.91855879433,9.54367007038431,7.09999990463257
27,44,Japan,1693,-21,-89,707,329,225,153,1227,851,H,6047894004051.61,47623.2709305964,0.267867384755462,3.09999990463257
28,45,Russia,1685,3,11,696,361,153,182,1223,686,A,1654433869549.9,11279.6253410461,3.6103493778149,
29,49,Panama,1663,3,18,475,148,210,117,570,750,G,44304199791.0644,10982.3730512324,0.9333116355632,4.40000009536743
30,51,Tunisia,1649,19,93,642,265,194,183,912,710,G,48639094592.7065,4265.37198811308,5.49219760058901,15.5
31,52,Egypt,1646,-12,-39,752,381,193,178,1331,805,A,260693936973.86,2724.39680691031,6.25238317807792,12.3999996185303
32,67,Saudi Arabia,1568,-11,-55,687,337,193,157,1108,739,A,690549935520.0,21395.3597802581,-2.51384468385538,5.59999990463257
